"ID","Tipo de prueba","Módulo","Caso de prueba","Precondición","Pasos","Resultado esperado","Resultado obtenido","Estado","Evidencia"
"CP-001","Funcional","Usuarios","Login admin","Microservicio usuarios activo y usuario admin existente","Abrir login; ingresar credenciales admin; enviar formulario","El sistema responde 200, guarda usuario admin en localStorage y redirige a admin.html","Fase 2 API: POST /login respondió 200 con usuario admin@hyperdistric.cl y rol admin. Fase 3 integración: POST /login respondió 200 y confirmó rol admin. Validación visual/localStorage queda para prueba funcional.","Aprobado","04_pruebas_api/capturas/post-login-admin.png; 05_pruebas_automatizadas/resultados-tests.md"
"CP-002","Funcional","Usuarios","Login cliente","Microservicio usuarios activo y usuario cliente existente","Abrir login; ingresar credenciales cliente; enviar formulario","El sistema responde 200, guarda usuario cliente en localStorage y redirige a cuenta.html","Fase 2 API: POST /usuarios/login respondió 200 con usuario cliente@hyperdistric.cl y rol cliente. Validación visual/localStorage queda para prueba funcional.","Aprobado","04_pruebas_api/capturas/post-usuarios-login-cliente.png"
"CP-003","Funcional","Usuarios","Registro cliente","Microservicio usuarios activo y email no registrado","Abrir registro; completar formulario; enviar","El sistema crea usuario cliente, guarda usuario real y redirige a cuenta.html","Fase 2 API: POST /usuarios/registro respondió 201 con mensaje Usuario registrado exitosamente. Validación visual/redirección queda para prueba funcional.","Aprobado","04_pruebas_api/capturas/post-usuarios-registro.png"
"CP-004","Integración","Productos","Catálogo desde MySQL","Servicio productos activo y base hyper_db disponible","Abrir catálogo o consultar GET /productos","Se muestran productos reales obtenidos desde la base de datos","GET /productos respondió 200 y devolvió 10 productos reales. Fase 3 integración automatizada: GET /productos respondió 200 y arreglo.","Aprobado","04_pruebas_api/capturas/get-productos.png; 05_pruebas_automatizadas/resultados-tests.md"
"CP-005","Integración","Productos","Detalle de producto","Existe producto con id 1","Abrir detalle de producto o consultar GET /productos/1","Se muestra información real del producto solicitado","GET /productos/1 respondió 200 con Polera Oversize Negra y stock 10. Fase 3 integración automatizada: GET /productos/1 respondió 200 y producto válido.","Aprobado","04_pruebas_api/capturas/get-producto-1.png; 05_pruebas_automatizadas/resultados-tests.md"
"CP-006","Funcional","Carrito","Carrito vacío","localStorage sin productos en carrito","Abrir carrito sin productos","Se muestra mensaje de carrito vacío y no se registra venta","Fase 3 unitaria: calculateCartTotal soporta carrito vacío o inválido y devuelve 0. Validación visual queda pendiente.","Pendiente","05_pruebas_automatizadas/resultados-tests.md; 03_capturas_funcionales/checkout-hyper-pay/"
"CP-007","Funcional","Carrito","Agregar producto al carrito","Producto con stock disponible","Agregar producto desde catálogo o detalle; abrir carrito","El producto aparece en carrito con cantidad, talla si aplica y total correcto","Fase 3 unitaria: calculateCartTotal suma precio por cantidad y normalizeQuantity valida cantidades. Validación visual de agregar producto queda pendiente.","Pendiente","05_pruebas_automatizadas/resultados-tests.md; 03_capturas_funcionales/checkout-hyper-pay/"
"CP-008","Funcional","Checkout","Abrir checkout HYPER PAY","Carrito con al menos un producto","Presionar Finalizar compra","Se abre modal de pago simulado con resumen, métodos de pago y texto académico","","Pendiente","03_capturas_funcionales/checkout-hyper-pay/"
"CP-009","Funcional","Checkout","Validación tarjeta incompleta","Modal HYPER PAY abierto y método tarjeta seleccionado","Dejar número de tarjeta con menos de 16 dígitos; intentar confirmar","El sistema muestra error y no ejecuta POST /ventas","Fase 3 unitaria: validateDemoCardNumber rechaza menos de 16 dígitos o letras.","Aprobado","05_pruebas_automatizadas/resultados-tests.md"
"CP-010","Funcional","Checkout","Validación fecha vencida","Modal HYPER PAY abierto y método tarjeta seleccionado","Ingresar una fecha MM/AA vencida; intentar confirmar","El sistema muestra 'La tarjeta demo está vencida' y no registra venta","Fase 3 unitaria: validateDemoExpiry rechaza fecha vencida, formato inválido y mes fuera de rango.","Aprobado","05_pruebas_automatizadas/resultados-tests.md"
"CP-011","Funcional","Checkout","Validación CVV","Modal HYPER PAY abierto y método tarjeta seleccionado","Ingresar CVV con menos de 3 dígitos; intentar confirmar","El sistema muestra error de CVV y no registra venta","Fase 3 unitaria: validateDemoCvv acepta exactamente 3 dígitos y rechaza largos inválidos o letras.","Aprobado","05_pruebas_automatizadas/resultados-tests.md"
"CP-012","Integración","Ventas","Compra exitosa","Usuario válido, carrito con producto y stock suficiente","Completar checkout simulado; confirmar pago; observar POST /ventas","El backend responde 201 y devuelve mensaje, pedido_id y total","POST /ventas respondió 201. Pedido creado: 2. Total: 29990. Fase 3 no ejecuta POST /ventas para no alterar stock.","Aprobado","04_pruebas_api/capturas/post-ventas-201.png"
"CP-013","Integración","Ventas","Stock descontado","Producto con stock inicial conocido","Registrar venta; consultar nuevamente GET /productos o MySQL","El stock baja según la cantidad comprada","Producto 2 Hoodie Street Gris bajó de stock 8 a 7 después de vender 1 unidad. Fase 3 evita nuevas ventas automáticas.","Aprobado","04_pruebas_api/capturas/get-producto-2-stock-despues.png"
"CP-014","Integración","Ventas","Stock insuficiente","Carrito con cantidad mayor al stock disponible","Enviar venta o confirmar checkout con cantidad superior al stock","El backend responde 409 y el carrito no se vacía","Fase 2 API: POST /ventas con cantidad 8 y stock 7 respondió 409. Fase 3 mock: stock insuficiente conserva status 409.","Aprobado","04_pruebas_api/capturas/post-ventas-409-stock-insuficiente.png; 05_pruebas_automatizadas/resultados-tests.md"
"CP-015","Funcional","Cuenta cliente","Cuenta cliente con pedidos","Cliente autenticado con al menos una compra registrada","Iniciar sesión como cliente; abrir cuenta.html","Se muestran pedidos reales del usuario desde GET /ventas/usuario/:id","Fase 2 API: GET /ventas/usuario/2 respondió 200 y devolvió 2 ventas, incluyendo el pedido 2. Validación visual queda para prueba funcional.","Aprobado","04_pruebas_api/capturas/get-ventas-usuario-2.png"
"CP-016","Funcional","Cuenta cliente","Cuenta cliente sin pedidos","Cliente autenticado sin compras registradas","Iniciar sesión con cliente nuevo; abrir cuenta.html","Se muestra mensaje de estado vacío sin romper la página","Fase 3 mock: pedidos vacíos devuelve arreglo vacío para cuenta sin pedidos. Validación visual queda pendiente.","Pendiente","05_pruebas_automatizadas/resultados-tests.md; 03_capturas_funcionales/cuenta-cliente/"
"CP-017","Seguridad funcional","Admin","Admin autorizado","Usuario admin autenticado en localStorage","Abrir admin.html","El panel admin permite acceso y carga datos reales","","Pendiente","03_capturas_funcionales/admin/"
"CP-018","Seguridad funcional","Admin","Cliente bloqueado en admin","Usuario cliente autenticado en localStorage","Intentar abrir admin.html","El sistema bloquea acceso o redirige fuera del panel admin","","Pendiente","03_capturas_funcionales/admin/"
"CP-019","Integración","Admin","Admin ve estadísticas","Servicios productos, usuarios y ventas activos","Iniciar sesión como admin; abrir panel","Se muestran total productos, total usuarios, total pedidos e ingresos reales","Fase 2 API: GET /productos respondió 200 con 10 productos y GET /ventas respondió 200 con 2 ventas. Fase 3 integración automatizada: GET /productos y GET /ventas respondieron 200.","Aprobado","04_pruebas_api/capturas/get-ventas.png; 05_pruebas_automatizadas/resultados-tests.md"
"CP-020","Integración","Admin","Admin cambia estado de pedido","Pedido existente y endpoint PUT /ventas/:id/estado disponible","Cambiar estado desde admin; confirmar actualización","El pedido actualiza su estado y se mantiene visible en ventas","PUT /ventas/2/estado respondió 200. GET /ventas/2 confirmó estado Pagado.","Aprobado","04_pruebas_api/capturas/put-ventas-estado.png"
"CP-021","API","Productos","Productos por categoría Hoodies","Servicio productos activo","Ejecutar GET /productos/categoria/Hoodies","La API responde 200 con productos de la categoría Hoodies o lista vacía válida","GET /productos/categoria/Hoodies respondió 200 con 3 productos.","Aprobado","04_pruebas_api/capturas/get-productos-hoodies.png"
"CP-022","Mock","Carrito","Error de conexión en venta","Frontend disponible y API ventas simulada como no disponible","Confirmar compra con servicio ventas apagado o mock de error","Se muestra mensaje claro de conexión y el carrito se mantiene","Fase 3 mock: error de conexión informa fallo controlado sin depender del backend real.","Aprobado","05_pruebas_automatizadas/resultados-tests.md"


